"Rating","Heading","Description"
"5","Awesome","Nice product tq flipkart"
"5","Fabulous!","Nice mobile...value for money.,,"
"5","Just wow!","Good product"
"5","Super!","Best phone"
"4","Really Nice","Osm 📷. Good phone in this price range"
"4","Really Nice","Nice"
"4","Pretty good","Nice products"
"5","Fabulous!","Nice product plz purchase this phone so many features iz there"
"5","Fabulous!","exlcellent phone"
"1","Don't waste your money","Cheap quality"
"5","Great product","Good mobile"
"5","Simply awesome","Good"
"5","Must buy!","Awesome 👍 product"
"1","Worst experience ever!","Camara very bad ,,,"
"3","Nice","Good"
"3","Fair","Super excited"
"1","Hated it!","Mobile is hang"
"3","Decent product","Good camera bt performance not satisfied"
"5","Highly recommended","Is the best mobile.jo dekha eahi paya.😘💖"
"4","Pretty good","Very nice phone value off money"
"5","Highly recommended","Mind blowing product"
"5","Awesome","Gud Mobile.... Excellent Performance...But I hate the service from Flipkart...This is my first negative review in Flipkart"
"4","Wonderful","Nice mobile phone must buy"
"5","Fabulous!","Excellent phone with  great capability in a wonderful price range. Overall it's a big phone"
"5","Simply awesome","Amazing Note 7  mobile"
"5","Perfect product!","Good"
"4","Value-for-money","Little disappointed with the display specs. Rest is Ok for the price. Looks premium in hand."
"4","Value-for-money","Very good phone in this budget. Very nice"
"1","Not recommended at all","I got a defective product . And Flipkart is not replacing it. Don't waste your money buying this phone..."
"5","Worth every penny","Price is so high"
"5","Great product","One of the best smart phone this prise range"
"5","Classy product","Very good prodact"
"4","Nice product","Good product"
"4","Worth the money",".Nice product"
"5","Simply awesome","Everything fine but supplied screen guard is very poor and head set not provided.otherwise everything good and nice"
"5","Must buy!","Good quality mobile in this price"
"4","Worth the money","Good"
"5","Classy product","Camera is super and with night mood and camera is very good"
"4","Nice product","Nice product"
"5","Just wow!","Like it good"
"5","Excellent","Good products"
"5","Mind-blowing purchase","Top mobile in this range"
"5","Mind-blowing purchase","Osm mobile battery backup is good good good"
"5","Simply awesome","Infinix note 7 is Amazing"
"5","Excellent","Good"
"5","Worth every penny","Much better than poco x2"
"5","Best in the market!","Nice mobile"
"2","Not good","After month usage, camera not that expected, battary is good, over all average. For liter users only."
"5","Super!","Nice"
"4","Really Nice","Nice 👍"
"4","Good choice","Good Phone."
"3","Good","okk"
"4","Pretty good","Not a good not a bed"
"5","Simply awesome","very good phone"
"3","Does the job","infinix Note 7 not  a Good Phone and only average mobile. Camera pictures are very Bad Quality."
"5","Great product","Good phone"
"5","Just wow!","ok"
"4","Good quality product","Very nice product"
"4","Very Good","Good phone"
"3","Does the job","Nyc"
"5","Just wow!","Good mobile"
"3","Does the job","Not good"
"3","Good","Worth for Money"
"5","Wonderful","India's no 1 budget fone"
